YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,11,7,MQ,3217,N639MQ,ORF,JFK,1323,1318,-5,18,1336,87,81,56,290,1432,7,1450,1439,-11,0,0,,,,,,
2015,1,11,7,OO,6324,N918SW,PSC,DEN,1323,1317,-6,13,1330,142,137,116,852,1626,8,1645,1634,-11,0,0,,,,,,
2015,1,11,7,UA,538,N814UA,GEG,DEN,1323,1323,0,7,1330,136,128,114,836,1624,7,1639,1631,-8,0,0,,,,,,
2015,1,11,7,OO,5657,N507CA,SGF,ORD,1324,1342,18,15,1357,100,93,68,438,1505,10,1504,1515,11,0,0,,,,,,
2015,1,11,7,US,594,N749US,BOI,PHX,1324,1333,9,10,1343,117,113,99,735,1522,4,1521,1526,5,0,0,,,,,,
2015,1,11,7,AA,1169,N3MBAA,LAX,ORD,1324,1318,-6,20,1338,246,261,225,1744,1923,16,1930,1939,9,0,0,,,,,,
2015,1,11,7,DL,803,N919DL,MCO,CVG,1324,1324,0,12,1336,126,122,103,757,1519,7,1530,1526,-4,0,0,,,,,,
2015,1,11,7,EV,4270,N11191,DEN,COS,1324,1316,-8,11,1327,41,35,19,73,1346,5,1405,1351,-14,0,0,,,,,,
2015,1,11,7,EV,6003,N11544,IAH,MLU,1324,1320,-4,10,1330,63,53,39,262,1409,4,1427,1413,-14,0,0,,,,,,
2015,1,11,7,HA,357,N484HA,KOA,HNL,1324,1326,2,9,1335,44,48,30,163,1405,9,1408,1414,6,0,0,,,,,,
2015,1,11,7,OO,4474,N418SW,DAY,MSP,1324,1322,-2,14,1336,121,114,96,574,1412,4,1425,1416,-9,0,0,,,,,,
2015,1,11,7,MQ,3679,N519MQ,MAF,DFW,1324,1341,17,11,1352,71,94,56,309,1448,27,1435,1515,40,0,0,,23,0,0,17,0
2015,1,11,7,US,1704,N165US,SEA,CLT,1325,1321,-4,23,1344,289,307,274,2279,2118,10,2114,2128,14,0,0,,,,,,
2015,1,11,7,US,1782,N915US,LAX,CLT,1325,1317,-8,25,1342,272,285,249,2125,2051,11,2057,2102,5,0,0,,,,,,
2015,1,11,7,US,612,N544UW,PHX,ATL,1325,1323,-2,18,1341,210,207,181,1587,1842,8,1855,1850,-5,0,0,,,,,,
2015,1,11,7,US,698,N524UW,CLT,JFK,1325,1335,10,15,1350,111,118,92,541,1522,11,1516,1533,17,0,0,,7,0,10,0,0
2015,1,11,7,VX,330,N639VA,LAX,FLL,1325,1339,14,20,1359,280,296,271,2342,2130,5,2105,2135,30,0,0,,3,0,11,0,16
2015,1,11,7,VX,710,N838VA,DAL,LGA,1325,1319,-6,10,1329,180,193,164,1381,1713,19,1725,1732,7,0,0,,,,,,
2015,1,11,7,VX,928,N841VA,SFO,LAX,1325,1323,-2,23,1346,80,85,56,337,1442,6,1445,1448,3,0,0,,,,,,
2015,1,11,7,WN,854,N8647A,MDW,ALB,1325,1330,5,12,1342,110,100,84,717,1606,4,1615,1610,-5,0,0,,,,,,
2015,1,11,7,WN,2016,N8614M,MDW,BDL,1325,1343,18,11,1354,120,110,93,777,1627,6,1625,1633,8,0,0,,,,,,
2015,1,11,7,WN,2530,N246LV,MDW,ORF,1325,1326,1,18,1344,120,128,106,704,1630,4,1625,1634,9,0,0,,,,,,
2015,1,11,7,WN,1273,N7811F,MDW,STL,1325,1325,0,7,1332,70,66,55,251,1427,4,1435,1431,-4,0,0,,,,,,
2015,1,11,7,WN,600,N494WN,OAK,BUR,1325,1332,7,8,1340,65,59,49,325,1429,2,1430,1431,1,0,0,,,,,,
2015,1,11,7,WN,3479,N378SW,ONT,PHX,1325,1348,23,8,1356,70,65,49,325,1545,8,1535,1553,18,0,0,,0,0,18,0,0
2015,1,11,7,WN,700,N651SW,DAL,STL,1325,1337,12,8,1345,95,87,75,546,1500,4,1500,1504,4,0,0,,,,,,
2015,1,11,7,WN,805,N234WN,DEN,MSP,1325,1335,10,18,1353,110,112,91,680,1624,3,1615,1627,12,0,0,,,,,,
2015,1,11,7,WN,38,N526SW,HRL,HOU,1325,1321,-4,7,1328,60,55,44,277,1412,4,1425,1416,-9,0,0,,,,,,
2015,1,11,7,WN,3768,N357SW,SAN,SFO,1325,1553,148,11,1604,95,84,68,447,1712,5,1500,1717,137,0,0,,0,0,0,2,135
2015,1,11,7,WN,2068,N7722B,ABQ,DAL,1325,1327,2,6,1333,95,87,78,580,1551,3,1600,1554,-6,0,0,,,,,,
2015,1,11,7,AA,379,N862AA,DFW,SFO,1325,1357,32,44,1441,232,243,195,1464,1556,4,1517,1600,43,0,0,,43,0,0,0,0
2015,1,11,7,AA,231,N3KVAA,ORD,LAS,1325,1321,-4,15,1336,239,242,218,1514,1514,9,1524,1523,-1,0,0,,,,,,
2015,1,11,7,AA,1563,N4XEAA,DFW,TUL,1325,1333,8,20,1353,61,68,46,237,1439,2,1426,1441,15,0,0,,7,0,0,8,0
2015,1,11,7,AS,682,N556AS,SEA,DEN,1325,1323,-2,25,1348,155,170,137,1024,1705,8,1700,1713,13,0,0,,,,,,
2015,1,11,7,AS,874,N512AS,OGG,SEA,1325,1456,91,35,1531,335,356,317,2640,2248,4,2100,2252,112,0,0,,21,0,10,81,0
2015,1,11,7,B6,1170,N184JB,MCO,RIC,1325,1331,6,15,1346,111,109,92,667,1518,2,1516,1520,4,0,0,,,,,,
2015,1,11,7,DL,848,N935DL,MSP,BOS,1325,1324,-1,9,1333,166,144,129,1124,1642,6,1711,1648,-23,0,0,,,,,,
2015,1,11,7,DL,1325,N3754A,LAX,MSY,1325,1325,0,21,1346,219,209,184,1670,1850,4,1904,1854,-10,0,0,,,,,,
2015,1,11,7,EV,4226,N11127,ORD,PVD,1325,1321,-4,17,1338,133,121,100,849,1618,4,1638,1622,-16,0,0,,,,,,
2015,1,11,7,EV,5941,N29906,ORD,AVP,1325,1353,28,17,1410,105,100,80,632,1630,3,1610,1633,23,0,0,,0,0,17,6,0
2015,1,11,7,MQ,2950,N663MQ,RST,ORD,1325,1339,14,18,1357,76,76,47,268,1444,11,1441,1455,14,0,0,,,,,,
2015,1,11,7,MQ,3339,N521MQ,ORD,SYR,1325,1325,0,19,1344,98,102,74,607,1558,9,1603,1607,4,0,0,,,,,,
2015,1,11,7,MQ,3414,N523MQ,AMA,DFW,1325,1317,-8,8,1325,70,85,52,312,1417,25,1435,1442,7,0,0,,,,,,
2015,1,11,7,NK,250,N630NK,MCO,MSP,1325,1320,-5,14,1334,208,235,178,1310,1532,43,1553,1615,22,0,0,,22,0,0,0,0
2015,1,11,7,OO,5504,N937SW,MFR,SFO,1325,1438,73,11,1449,75,72,54,329,1543,7,1440,1550,70,0,0,,63,0,0,7,0
2015,1,11,7,DL,2272,N917DE,PIT,ATL,1326,1330,4,10,1340,111,110,92,526,1512,8,1517,1520,3,0,0,,,,,,
2015,1,11,7,EV,3272,N14116,IAH,MOB,1326,1345,19,16,1401,81,78,59,427,1500,3,1447,1503,16,0,0,,0,0,0,16,0
2015,1,11,7,EV,4401,N11194,EWR,BTV,1326,1318,-8,19,1337,74,67,45,266,1422,3,1440,1425,-15,0,0,,,,,,
2015,1,11,7,EV,4654,N22971,HRL,IAH,1326,1318,-8,14,1332,74,80,48,295,1420,18,1440,1438,-2,0,0,,,,,,
2015,1,11,7,EV,4685,N17524,BRO,IAH,1326,1509,103,10,1519,76,63,48,308,1607,5,1442,1612,90,0,0,,0,0,0,90,0
2015,1,11,7,OO,5168,N786SK,OKC,DEN,1326,1316,-10,10,1326,106,89,76,495,1342,3,1412,1345,-27,0,0,,,,,,
2015,1,11,7,OO,6439,N772SK,CID,DEN,1326,1322,-4,14,1336,131,131,110,692,1426,7,1437,1433,-4,0,0,,,,,,
2015,1,11,7,AA,369,N640AA,SAN,DFW,1327,1459,92,17,1516,173,174,141,1171,1937,16,1820,1953,93,0,0,,1,0,19,73,0
2015,1,11,7,DL,1155,N311US,GEG,SLC,1327,1322,-5,9,1331,94,88,73,546,1544,6,1601,1550,-11,0,0,,,,,,
2015,1,11,7,EV,3935,N12569,MAF,IAH,1327,1414,47,8,1422,88,87,67,429,1529,12,1455,1541,46,0,0,,0,0,0,46,0
2015,1,11,7,MQ,3613,N535MQ,ATL,ORD,1327,1326,-1,7,1333,128,104,90,606,1403,7,1435,1410,-25,0,0,,,,,,
2015,1,11,7,OO,5505,N824AS,FAT,DEN,1327,1427,60,10,1437,138,137,114,844,1731,13,1645,1744,59,0,0,,0,0,59,0,0
2015,1,11,7,AA,1468,N3AAAA,LAS,DFW,1328,1319,-9,23,1342,157,163,125,1055,1747,15,1805,1802,-3,0,0,,,,,,
2015,1,11,7,AA,2325,N480AA,ORD,DFW,1328,1409,41,7,1416,152,143,124,802,1620,12,1600,1632,32,0,0,,0,0,9,23,0
2015,1,11,7,UA,1295,N75410,DEN,IAH,1330,1411,41,13,1424,141,139,116,862,1720,10,1651,1730,39,0,0,,0,0,39,0,0
2015,1,11,7,US,895,N178US,PHX,ORD,1330,1432,62,13,1445,206,217,181,1440,1846,23,1756,1909,73,0,0,,11,0,54,8,0
2015,1,11,7,US,1719,N624AW,TPA,CLT,1330,1325,-5,11,1336,99,92,72,507,1448,9,1509,1457,-12,0,0,,,,,,
2015,1,11,7,US,1748,N119US,PHL,MCO,1330,1327,-3,13,1340,158,141,121,861,1541,7,1608,1548,-20,0,0,,,,,,
2015,1,11,7,US,443,N837AW,PHX,IAH,1330,1325,-5,13,1338,153,142,119,1009,1637,10,1703,1647,-16,0,0,,,,,,
2015,1,11,7,US,478,N163US,LAS,DCA,1330,1338,8,24,1402,259,265,234,2089,2056,7,2049,2103,14,0,0,,,,,,
2015,1,11,7,US,507,N657AW,PHX,BOS,1330,1440,70,22,1502,287,279,250,2300,2112,7,2017,2119,62,0,0,,0,0,62,0,0
2015,1,11,7,US,654,N509AY,JFK,PHX,1330,1329,-1,21,1350,343,323,299,2153,1649,3,1713,1652,-21,0,0,,,,,,
2015,1,11,7,US,678,N703UW,SJU,PHL,1330,1321,-9,12,1333,247,223,206,1576,1559,5,1637,1604,-33,0,0,,,,,,
2015,1,11,7,VX,929,N847VA,LAX,SFO,1330,1430,60,15,1445,75,80,60,337,1545,5,1445,1550,65,0,0,,65,0,0,0,0
2015,1,11,7,WN,124,N8608N,MDW,CLE,1330,1329,-1,7,1336,75,58,46,307,1522,5,1545,1527,-18,0,0,,,,,,
2015,1,11,7,WN,2203,N466WN,MDW,CLT,1330,1328,-2,9,1337,110,98,83,584,1600,6,1620,1606,-14,0,0,,,,,,
2015,1,11,7,WN,917,N694SW,MDW,GSP,1330,1333,3,14,1347,95,104,86,562,1613,4,1605,1617,12,0,0,,,,,,
2015,1,11,7,WN,326,N786SW,MDW,PHL,1330,1329,-1,17,1346,115,118,96,668,1622,5,1625,1627,2,0,0,,,,,,
2015,1,11,7,WN,651,N257WN,MDW,PIT,1330,1328,-2,12,1340,75,73,57,402,1537,4,1545,1541,-4,0,0,,,,,,
2015,1,11,7,WN,4212,N278WN,PHL,PHX,1330,1330,0,13,1343,340,320,301,2075,1644,6,1710,1650,-20,0,0,,,,,,
2015,1,11,7,WN,4817,N370SW,PHL,TPA,1330,1328,-2,20,1348,165,163,139,920,1607,4,1615,1611,-4,0,0,,,,,,
2015,1,11,7,WN,1199,N552WN,PHX,GEG,1330,1336,6,12,1348,170,153,136,1020,1504,5,1520,1509,-11,0,0,,,,,,
2015,1,11,7,WN,260,N384SW,BWI,TPA,1330,1330,0,7,1337,155,141,127,842,1544,7,1605,1551,-14,0,0,,,,,,
2015,1,11,7,WN,173,N774SW,DAL,ABQ,1330,1325,-5,10,1335,110,101,86,580,1401,5,1420,1406,-14,0,0,,,,,,
2015,1,11,7,WN,2128,N218WN,DAL,PHX,1330,1353,23,12,1405,160,160,139,879,1524,9,1510,1533,23,0,0,,0,0,13,10,0
2015,1,11,7,WN,4838,N8615E,HOU,DEN,1330,1327,-3,7,1334,155,132,119,883,1433,6,1505,1439,-26,0,0,,,,,,
2015,1,11,7,WN,1743,N713SW,HOU,ECP,1330,1325,-5,9,1334,90,89,78,571,1452,2,1500,1454,-6,0,0,,,,,,
2015,1,11,7,WN,3315,N417WN,LAS,PHL,1330,1336,6,24,1400,275,282,248,2176,2108,10,2105,2118,13,0,0,,,,,,
2015,1,11,7,WN,1099,N785SW,SAT,LAS,1330,1330,0,9,1339,180,178,162,1069,1421,7,1430,1428,-2,0,0,,,,,,
2015,1,11,7,WN,4011,N236WN,SMF,MDW,1330,1333,3,12,1345,235,259,220,1790,1925,27,1925,1952,27,0,0,,27,0,0,0,0
2015,1,11,7,WN,2853,N224WN,SNA,SMF,1330,1351,21,8,1359,85,81,69,404,1508,4,1455,1512,17,0,0,,0,0,7,10,0
2015,1,11,7,WN,4509,N484WN,TPA,FLL,1330,1337,7,9,1346,70,56,43,197,1429,4,1440,1433,-7,0,0,,,,,,
2015,1,11,7,WN,3415,N7812G,PIT,MDW,1330,1323,-7,7,1330,95,86,69,402,1339,10,1405,1349,-16,0,0,,,,,,
2015,1,11,7,WN,2218,N243WN,RDU,ATL,1330,1355,25,16,1411,90,98,71,356,1522,11,1500,1533,33,0,0,,8,0,12,13,0
2015,1,11,7,WN,411,N949WN,RNO,LAS,1330,1432,62,17,1449,75,92,64,345,1553,11,1445,1604,79,0,0,,79,0,0,0,0
2015,1,11,7,US,2116,N831AW,DCA,BOS,1330,1328,-2,12,1340,82,78,63,399,1443,3,1452,1446,-6,0,0,,,,,,
2015,1,11,7,WN,463,N711HK,BNA,SAT,1330,1329,-1,10,1339,155,149,129,822,1548,10,1605,1558,-7,0,0,,,,,,
2015,1,11,7,AA,256,N786AA,LAX,JFK,1330,1331,1,20,1351,325,319,290,2475,2141,9,2155,2150,-5,0,0,,,,,,
2015,1,11,7,AA,1210,N3HWAA,PHL,MIA,1330,1324,-6,12,1336,178,165,148,1013,1604,5,1628,1609,-19,0,0,,,,,,
2015,1,11,7,AA,1605,N5FEAA,MIA,DFW,1330,1327,-3,21,1348,199,189,159,1121,1527,9,1549,1536,-13,0,0,,,,,,
2015,1,11,7,AA,2447,N5ERAA,DFW,LAX,1330,1333,3,12,1345,201,193,167,1235,1432,14,1451,1446,-5,0,0,,,,,,
2015,1,11,7,AA,2478,N570AA,DFW,RIC,1330,1325,-5,12,1337,157,151,133,1158,1650,6,1707,1656,-11,0,0,,,,,,
2015,1,11,7,AS,359,N792AS,SMF,SEA,1330,1322,-8,12,1334,105,110,90,605,1504,8,1515,1512,-3,0,0,,,,,,
2015,1,11,7,AS,436,N565AS,PDX,LAX,1330,1417,47,11,1428,130,128,106,834,1614,11,1540,1625,45,0,0,,0,0,0,45,0
2015,1,11,7,AS,494,N797AS,SEA,SAN,1330,1328,-2,19,1347,158,161,139,1050,1606,3,1608,1609,1,0,0,,,,,,
2015,1,11,7,AS,610,N462AS,SEA,LAS,1330,1523,113,20,1543,155,141,113,867,1736,8,1605,1744,99,0,0,,99,0,0,0,0
2015,1,11,7,B6,308,N258JB,JFK,PWM,1330,1355,25,15,1410,70,65,48,273,1458,2,1440,1500,20,0,0,,0,0,20,0,0
2015,1,11,7,B6,431,N519JB,LGA,SRQ,1330,1321,-9,18,1339,191,176,156,1047,1615,2,1641,1617,-24,0,0,,,,,,
2015,1,11,7,DL,811,N903DA,ATL,TPA,1330,1332,2,17,1349,85,83,62,406,1451,4,1455,1455,0,0,0,,,,,,
2015,1,11,7,DL,995,N355NB,FLL,LGA,1330,1324,-6,14,1338,178,159,139,1076,1557,6,1628,1603,-25,0,0,,,,,,
2015,1,11,7,DL,1125,N907DE,IAD,ATL,1330,1328,-2,16,1344,116,120,95,534,1519,9,1526,1528,2,0,0,,,,,,
2015,1,11,7,DL,1159,N917DL,ATL,BUF,1330,1326,-4,17,1343,119,105,85,712,1508,3,1529,1511,-18,0,0,,,,,,
2015,1,11,7,DL,1208,N396DA,PDX,SLC,1330,1324,-6,10,1334,103,98,81,630,1555,7,1613,1602,-11,0,0,,,,,,
2015,1,11,7,DL,2169,N519US,MCO,ATL,1330,1328,-2,11,1339,96,85,68,404,1447,6,1506,1453,-13,0,0,,,,,,
2015,1,11,7,DL,1519,N338NW,PBI,DTW,1330,1323,-7,22,1345,181,179,152,1086,1617,5,1631,1622,-9,0,0,,,,,,
2015,1,11,7,DL,1803,N917DN,RDU,ATL,1330,1327,-3,13,1340,95,84,65,356,1445,6,1505,1451,-14,0,0,,,,,,
2015,1,11,7,DL,1876,N651DL,LAX,DTW,1330,1327,-3,29,1356,267,276,241,1979,2057,6,2057,2103,6,0,0,,,,,,
